id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,445,445,38,2012,Maharashtra,Beed,Bid,32,0,14-09-2012 00:00,20-09-2012 00:00,"Outbreak reported from Village Ambajogai, PHC Kumbephal, Block Aapegaon,  District  Beed.     Medical  team  investigated  the outbreak. One Serum sample collected was positive for Dengue (IgM ELISA). Entomological survey revealed high vector indices, H.I.-15.8%, C.I.-
10.12%.  Temporary  Health  camps  organized.    Anti  larval  activity done.","Ambajogai, PHC Kumbephal, Block Aapegaon",18.5881691,76.2602222
2,7,7,4,2010,Maharashtra,Beed,Bid,90,0,13-01-2010 00:00,27-01-2010 00:00,"Outbreak reported  from Patherwala Tal  Georai, Gangawadi Tal  Georai. Health camp established at affected village and medical team from PHC Umapur deputed to the area for treatment of fever cases. Entomological survey revealed  increase in  Aedes mosquito larvae.  Blood  samples  sent for  lab  analysis;  result  awaited.  IEC  activities  done  regarding  personal
protection measures.",Umapur,19.2963455,75.5980396
3,77,77,16,2010,Maharashtra,beed,Bid,22,0,13-04-2010 00:00,20-04-2010 00:00,"Outbreak occurred in village Warpgaon, PHC ChincholiMali, Taluka Kaij.  Health  team  of  PHC  visited  affected  area.  1  patient  found Dengue  IgM  positive,  1  patient  found  Chikungunya  IgM  positive.
Vector control measures undertaken. IEC activities undertaken.","Warpgaon,ChincholiMali",18.6628438,75.9869609
4,723,723,48,2010,Maharashtra,Ratnagiri,Ratnagiri,24,0,17-11-2010 00:00,24-11-2010 00:00,"Outbreak  of  fever  reported  from  village  Navade,  Sambhaji  nagar,  Taluka Sangmeshwar.  District  RRT  visited  the  affected  area  and  investigated  the outbreak.   Daily   house   to   house   surveillance   done   in   the   area.   On entomological  surveillance, high House Index, Container Index and Breteau Index  found.  Sera  samples  collected  for  lab  test;  result  awaited.  Fogging activities  and  source  reduction  measures  undertaken  in  and  around  the affected village.  IEC activities undertaken regarding early treatment of cases
and personal protection measures to be adopted by the community.","Navade,  Sambhaji  nagar,  Taluka Sangmeshwar",17.1867481,73.5559928
5,33,33,9,2011,Maharashtra,Sindhudurg,Sindhudurg,10,0,23-02-2011 00:00,,"Cases of fever with joint pain reported from Village Dandi, PHC Malvan.  Paramedical staff  deputed  to  the  affected  area  for  active  surveillance.  Sera  samples  sent  for  lab investigation; result waited. Rapid fever survey, entomological surveillance, and fogging activities  undertaken  in  and  around  the  affected  village.  IEC  activities  undertaken
regarding early treatment of cases and personal protection measures."," Dandi, Malvan",16.0498975,73.4686605
6,134,134,19,2011,Maharashtra,Sindhudurg,Sindhudurg,5,0,10-05-2011 00:00,,"Cases   of   fever   reported   from   Village   Govandiwada,   PHC   Malvan.   Dengue   cases previously  reported  from  village  Dandi  under  PHC  Malvan.  Out  of  5  serum  samples tested,  one found  positive  for  dengue.  Rapid fever survey  and  house to house container survey done. Increased mosquito breeding found in the area. Larvicides used and fogging
done in the area. Health education imparted among the affected village people.","Govandiwada, Malvan",16.0583702,73.4663687
7,286,286,31,2011,Maharashtra,Nashik,Nashik,2,1,26-07-2011 00:00,03-08-2011 00:00,"Cases  of  fever  reported  from  SC  Chandwad,  PHC  Uswad,  Block  Chanwad. District RRT investigated the outbreak.  Paramedical staff deputed to the affected area for active surveillance. Sera samples sent for lab investigation; result waited. Rapid fever survey, entomological surveillance, and fogging activities undertaken
in  and  around  the  affected  village.  IEC  activities  undertaken  regarding  early treatment of cases and personal protection measures.","Chandwad, Uswad",20.3367204,74.3044879
8,376,376,35,2011,Maharashtra,Bhandara,Bhandara,84,1,25-08-2011 00:00,,"Outbreak  reported  from  Village  Virali,  PHC  Sarandia,  and  Block  Lakhandur.  Block  Medical
team investigated  the outbreak.   House to house survey done for new fever cases.   One each serum  samples  were  positive  for  Dengue  and  JE.  Fogging  activities  and  source  reduction
measures  undertaken  in  and  around  the  affected  village.  IEC  activities  undertaken  regarding early treatment of cases and personal protection measures to be adopted by the community.","Virali,Sarandia,  Lakhandur",21.177658,79.6570127
9,374,374,36,2011,Maharashtra,Jalna,Jalna,20,0,03-09-2011 00:00,05-09-2011 00:00,"Cases  of fever  reported  from Village Mauje  Southana,  PHC/  Block  Badnapur.
District  RRT  visited  the  affected  area  and  investigated  the  outbreak.  Sera samples were positive for Dengue (Ig M ). Anti larval activities and fogging done in the affected area. House to house fever survey done and all cases treated. IEC
activities   undertaken   regarding   mosquito   control   measures   and   personal protection measures.","Mauje  Southana,  Badnapur",19.8687793,75.718447
10,441,441,38,2011,Maharashtra,Pune,Pune,11,1,27-08-2011 00:00,,"Cases  of  fever  and  joint  pain  reported  from  Pimpligaon  and  Ambegaon  villages  under Nirgudsa PHC.  Out  of 11  serum samples examined,  6  found positive for  Dengue at  NIV, Pune.  District  RRT  visited  the  affected  area  and  investigated  the  outbreak.  Rapid  fever survey done  by house  to house  visit.  Aedes larvae  found  in  premises  of houses searched. Source  reduction  measures  undertaken  in  the  affected  village.  IEC  activities  undertaken regarding early treatment of cases and personal protection measures to be adopted.","Pimpligaon  and  Ambegaon,Nirgudsa",18.9759056,74.0447003
11,476,476,38,2011,Maharashtra,Pune,Pune,11,1,27-08-2011 00:00,,"Cases  of  fever  reported  from  Village  Pimpalgaon,  PHC  Nirgudsar,  Block  Ambegaon. District RRT visited the affected area and investigated the outbreak. Rapid house to house fever survey and entomological survey done. Increased breeding of Aedes larvae found in the area.  6  serum samples sent  to NIV,  Pune for Dengue serology test;  report  awaited. Fogging activities and source reduction measures undertaken in and around the affected village.   IEC  activities  undertaken  regarding  early  treatment   of  cases  and  personal
protection measures to be adopted by the community.","Pimpalgaon,  PHC  Nirgudsar,  Block  Ambegaon",18.9802028,74.0460139
12,665,665,44,2011,Maharashtra,Beed,Bid,19,1,13-10-2011 00:00,,"Cases of fever with joint pain and rash reported from Morewadi, (7 cases/1 death) and  from  Yelda  (12  cases)  under  PHC  Bhawthana,  Tal.Ambajogai.  4  serum samples tested  positive for Dengue IgM antibodies.  Increase in breeding sites of Aedes mosquito seen in the affected  area. Active survey done to find new fever cases.  Health team of PHC Bhawathana deputed to affected village and all  fever
cases treated. Health education given regarding mosquito control measures.","Morewadi, PHC  Bhawthana",18.722356,76.3694352
